id,last,first,middle,birth,cell,tel
50,Буажогцев,Михаил,Борисович,1972-11-18,89992243972,84993036654
51,Евижернов,Георгий,Андреевич,1990-12-02,89368113103,84982983079
52,Тацулов,Леонид,Кириллович,1990-03-21,89869080307,84951343290
53,Оцясахпов,Фёдор,Николаевич,1997-04-17,89646531519,84951571152
54,Ямпядакин,Фёдор,Евгеньевич,1990-05-31,89153905733,84959754578
55,Яцпокий,Михаил,Юрьевич,1981-08-04,89637705964,84989088366
56,Икюжжуцев,Роман,Кириллович,1981-07-08,89852184051,84951692301
57,Ютдиофко,Олег,Иосифович,1973-03-20,89858507588,84993847301
58,Юзбюропин,Эмануил,Юрьевич,1979-01-21,89256320182,84981415966
59,Уггушин,Роман,Евгеньевич,1979-12-30,89103272253,84997037930
60,Онтюнин,Харитон,Андреевич,1976-08-01,89631505748,84981234180
61,Фиволов,Яков,Борисович,1971-07-26,89805844055,84954593262
62,Ефляяцшов,Георгий,Дмитриевич,2000-03-22,89152103719,84955269966
63,Явтумюрин,Борис,Харитонович,1994-10-03,89775314298,84952874625
64,Ецтудецин,Георгий,Дмитриевич,1974-03-06,89635678117,84991837274
65,Сеемкий,Иосиф,Юрьевич,1996-10-04,89652360716,84994650073
66,Итнорин,Умар,Умарович,1999-09-24,89851538604,84997696040
67,Ошоткюрин,Сергей,Петрович,1992-01-21,89662875870,84982483601
68,Хязицин,Иосиф,Сергеевич,1979-05-27,89963727409,84992159904
69,Ревяшин,Юрий,Николаевич,1991-08-23,89664820445,84999369501
70,Ятциров,Петр,Георгиевич,1989-06-16,89963477146,84955058010
71,Ибевноков,Петр,Михаилович,1972-11-28,89637495903,84982481292
72,Сыуплин,Харитон,Умарович,1972-01-12,89808313594,84956213139
73,Фолыгеций,Харитон,Дмитриевич,1993-09-06,89172698656,84992999778
74,Ючюпкюлов,Владимир,Харитонович,1973-12-31,89632178553,84954720471
75,Овюрков,Умар,Владимирович,1978-07-13,89686574361,84953247306
76,Быкянин,Умар,Борисович,1985-08-07,89778183005,84954923942
77,Геязров,Олег,Петрович,1970-01-13,89675773623,84993505152
78,Фоучляшов,Тимофей,Дмитриевич,1993-05-27,89256339036,84958888610
79,Виюмвич,Юрий,Эмануилович,1985-09-16,89624570413,84956644848
80,Вюжюекров,Юрий,Владимирович,1984-06-10,89838229158,84958117056
81,Есипшов,Евгений,Харитонович,1991-02-13,89162441807,84959279271
82,Чофобецин,Михаил,Фёдорович,2000-11-29,89011456032,84993005867
83,Буацфоцев,Леонид,Борисович,2000-09-24,89152042986,84959285545
84,Феуцвич,Леонид,Олегович,1998-04-11,89633730975,84993471689
85,Ляарпов,Андрей,Борисович,1990-12-17,89036603114,84999039859
86,Юзчицоков,Юрий,Яковлевич,2000-08-11,89869561208,84994085130
87,Агабров,Петр,Тимофеевич,1992-09-20,89953603140,84984008179
88,Етатюшнов,Сергей,Юрьевич,1974-07-24,89962577970,84951587141
89,Отвеякпин,Харитон,Романович,1996-03-15,89032744869,84999398799
90,Юнобков,Яков,Андреевич,1976-12-27,89628513583,84995420772
91,Угюлпов,Михаил,Кириллович,1994-08-07,89104561552,84993861411
92,Игзенышин,Иосиф,Кириллович,1992-02-12,89252517042,84987207846
93,Теезрин,Тимофей,Андреевич,1982-11-05,89994955503,84953258458
94,Едяпнукин,Николай,Дмитриевич,2000-05-27,89992121158,84999914075
95,Есофумлов,Дмитрий,Юрьевич,1985-06-07,89679209878,84997214863
96,Етабатрин,Андрей,Михаилович,1998-10-27,89998944325,84981511000
97,Ахняшов,Харитон,Олегович,1999-12-07,89838935986,84959248172
98,Оривиннин,Андрей,Яковлевич,1992-11-07,89587713784,84951818219
99,Угизшицев,Роман,Борисович,1989-01-14,89051995772,84958109085
